commit,date,module,kind,target_device,speed_grade,clock_target_mhz,fmax_mhz,worst_slack_ns,lut4,ff,ebr18,mult18x18d,pll,latency_cycles,throughput,config,critical_path_summary,seed,tool_versions,multiplications,additions,comparators,total_cells,wire_bits,timing_met
afa5b3c9b93d,2026-09-11T21:39:31Z,goertzel_observables,composition,LFE5U-45F-7BG256I,-7,125.0,28.062,-27.636,2163,1051,0,28,0,6 clk to observable_valid (pipeline),1 sample per clk (gated by sample_ce),production-defaults,"dut.detector_i.carrier_i.state_1_TRELLIS_FF_Q_19 -> dut.detector_i.carrier_i.overflow_TRELLIS_FF_Q [35.11 ns: logic 15.08 + route 20.04, 155 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",24,20,72,0,1197,False
afa5b3c9b93d,2026-09-11T21:38:36Z,receiver_dsp_core,composition,LFE5U-45F-7BG256I,-7,125.0,28.461,-27.136,9967,3752,0,28,0,stage sum (observables + AM + PM + sync),1 sample per clk (sample_ce),production-defaults,"dut.observables_i.detector_i.pm_i.state_1_TRELLIS_FF_Q_15 -> dut.observables_i.detector_i.pm_i.overflow_TRELLIS_FF_Q [34.61 ns: logic 14.93 + route 19.68, 149 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",24,94,224,0,2016,False
afa5b3c9b93d,2026-09-11T21:41:53Z,ml_decode_subsystem,composition,LFE5U-45F-7BG256I,-7,125.0,41.693,-15.985,3937,1348,0,0,0,minute + hour + calendar search depth,1 decode per minute,production-defaults,"dut.minute_i.candidate_TRELLIS_FF_Q_4 -> dut.minute_i.quality_gap_TRELLIS_FF_Q_1 [23.46 ns: logic 8.71 + route 14.75, 107 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,68,194,0,852,False
afa5b3c9b93d,2026-09-11T21:39:58Z,frequency_discipline_subsystem,multicycle,LFE5U-45F-7BG256I,-7,125.0,68.185,-6.666,2167,1094,0,0,0,"1 clk observation, once per second (see BEA-36)",1 correction per measurement_ce intervals,production-defaults,"sig_phase_error_TRELLIS_FF_Q_22 -> dut.accepted_count_TRELLIS_FF_Q_3 [13.72 ns: logic 5.72 + route 8.00, 141 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,30,82,0,3807,False
afa5b3c9b93d,2026-09-11T21:36:25Z,full_receiver_core,composition,LFE5U-45F-7BG256I,-7,125.0,26.914,-29.156,15564,5796,8,28,0,whole-pipeline latency,1 sample per clk (sample_ce),production-defaults,"dut.detector_i.observables_i.detector_i.am_i.state_1_TRELLIS_FF_Q_10 -> dut.detector_i.observables_i.detector_i.am_i.state_1_TRELLIS_FF_Q_17 [36.63 ns: logic 14.78 + route 21.85, 153 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",24,268,770,0,1316,False
afa5b3c9b93d,2026-09-11T21:32:55Z,full_hat_top,composition,LFE5U-45F-7BG256I,-7,125.0,28.914,-26.585,17253,6178,8,28,1,whole-system latency,1 sample per clk at 125 MHz (PLL-derived),production-defaults,"core_i.detector_i.observables_i.detector_i.carrier_i.state_1_TRELLIS_FF_Q_29 -> core_i.detector_i.observables_i.detector_i.carrier_i.overflow_TRELLIS_FF_Q [34.06 ns: logic 14.67 + route 19.39, 131 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",24,322,1090,0,1316,False
